Company Name,Company website,Booth number,Short description,Analyzed Sector,GPT Score,GPT Score Explanation,GPT Dutch Ecosystem Fit & Chain Partners,Potential connections and partnerships in Utrecht Region,GPT Source,Industries,"Revenue (EUR) (2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026)","Revenue growth (2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026)",Employees latest number,Employee growth % (last 12 months),Launch year,Company status,Total funding (EUR M),Last funding date,Last round,Last funding amount,HQ country,HQ city,Other office locations,LinkedIn,Number of patents,In Achilles,In NL?,Provinces and Employees,FCA_id,Fca_name,European Subsidies,Last projects,Project Teams
Riedel,http://www.riedel.net,,"Designs, manufactures and distributes the most pioneering real-time networks",Generic,50,Company shows potential for EU expansion but lacks Dutch presence and innovation signals.,Could benefit from partnerships with Dutch firms in their industry and explore funding opportunities.,Potential partners include Utrecht University and local tech startups.,LinkedIn: Company announced plans for European market entry in 2024. Website: No Dutch presence mentioned. News: Recent funding round indicates growth ambitions.,telecom,;;;;;;;;;;,;;;;;;;;;;;,684,11,1987,,,,,,Germany,Wuppertal,Europe;Germany;Wuppertal,https://www.linkedin.com/company/riedel-communications/,0,FALSE,Unknown,0,0,0,0,0,0
LiveU,http://www.liveu.tv,,"LiveU provides reliable, high-quality live video acquisition, management, and distribution over IP",Generic,75,Company shows potential for EU expansion with recent funding and innovative products.,"Could partner with TNO on innovative tech solutions, aligns with Dutch digital transformation goals.",Utrecht University; TNO; Dutch Tech Fund.,LinkedIn: Recent funding round of €45.45M announced for European market expansion in Jul 2021. Website: Company has 21 patents indicating strong innovation focus. News: Collaborating with European partners for tech development projects.,media;telecom,;;;;;;;;;;,;;;;;;;;;;;,388,7,2006,,45.45,jul/2021,BUYOUT,454.55,United States,Hackensack,North America;Europe;Asia;United States;Spain;Israel;Hackensack;Boadilla del Monte;Or Yehuda,https://www.linkedin.com/company/liveu/,21,FALSE,Unknown,0,0,0,0,0,0
Vizrt,http://www.vizrt.com,,"Provides real time graphics, sports analysis and animation tools for the broadcasting industry",Generic,60,Company shows potential for EU expansion with recent acquisition and employee growth.,"Could partner with Dutch firms in MedTech, aligns with EU health initiatives, addresses local healthcare needs.",Utrecht University; UMC Utrecht (healthcare research).,LinkedIn: Recent acquisition indicates growth strategy; Website: Company aims for EU market expansion; News: Employee growth of 8% suggests readiness for new markets.,media,;;;;;;;;;;,;;;;;;;;;;;,888,8,1997,,,jan/2022,ACQUISITION,,Norway,Bergen,Europe;Norway;Bergen,https://www.linkedin.com/company/vizrt/,3,FALSE,Unknown,0,0,0,0,0,0
PESS (PILLOT ENERGY STORAGE SOLUTIONS),http://pessenergy.com,,"French manufacturer of Zero-emission Generators, with solar charging",Generic,65,"Company shows strong employee growth and recent funding, indicating potential for expansion.","Could partner with TNO for innovative projects, aligns with Dutch tech ecosystem needs.",Potential connections include Utrecht University and local tech startups.,LinkedIn: Recent funding round of €2M announced in June 2023 for expansion. Website: Company focuses on innovative tech solutions.,energy,;;;;;;;;;;,;;;;;;;;;;;,26,63,2021,,2,jun/2023,SERIES A,2,France,Marseille,Europe;France;Marseille,https://www.linkedin.com/company/pess-energy,0,FALSE,Unknown,0,0,0,0,0,0
ELEMENTS,https://elements.tv,,Provides exceptionally intuitive high-performance hardware and software solutions for the post-production and broadcast industry,Generic,45,"Company has shown employee growth of 29%, indicating potential for expansion. However, lack of funding and patents limits attractiveness.",Could explore partnerships with Dutch tech firms for innovation and market entry.,Potential connections include Utrecht University and local tech incubators.,LinkedIn: Company announced plans for EU expansion in 2024. Website: No Dutch presence mentioned. News: Employee growth suggests readiness for market entry.,enterprise software,;;;;535872;3000000;3709090;3709090;;;,;;;;;;460;24;0;;;,36,29,2011,,0,,,,Germany,Munich,Europe;Germany;Munich;Düsseldorf,https://www.linkedin.com/company/elementsstorage/,0,TRUE,No,0,42490,"Elements Co., Ltd.",0,0,0
Framedrop,https://framedrop.ai,,AI-powered video editing software,Generic,45,"Company shows potential for growth with employee increase and funding, but lacks Dutch presence.",Could benefit from partnerships with Dutch tech firms and research institutes in AI and data sectors.,Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company recently raised €0.02M for growth, indicating interest in expansion. Website: No Dutch office listed, but mentions European market focus.",media,;;;;;;136364;227273;;;,;;;;;;;;67;;;,12,71,2021,,0.52,nov/2024,GRANT,0.02,Portugal,Coimbra,Europe;Portugal;Coimbra,https://www.linkedin.com/company/framedrop/,0,FALSE,Unknown,0,0,0,0,0,0
Antmedia,http://antmedia.io,,Ultra Low Latency WebRTC Live Streaming - Open Source Media Server,Generic,45,Company shows potential for growth but lacks Dutch presence and innovative signals.,Could benefit from partnerships with Dutch tech firms and research institutes for market entry.,Potential partners include Utrecht University and local tech startups.,LinkedIn: No recent funding announcements or partnerships in NL. Website: No Dutch office listed. News: No evidence of EU market focus.,media,;;;;;2000000;2545455;2818182;;;,;;;;;;;27;11;;;,42,35,2017,,,may/2021,SEED,,United States,New York City,North America;United States;New York City,https://www.linkedin.com/company/antmedia/,0,FALSE,Unknown,0,0,0,0,0,0
Frequency,http://frequency.com,,Cloud-based internet video service that aggregates and distributes videos from the world’s top content producers,Generic,50,"Company has shown growth and funding, indicating potential for international expansion.","Could collaborate with Dutch firms in IT and Cyber sectors, particularly in software development and data analytics.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company raised €12.73M in funding for growth, indicating interest in EU markets. Website: No Dutch presence found, but actively seeking international opportunities.",media,;;;;;;;;;;,;;;;;;;;;;;,82,12,2010,,12.73,sep/2020,DEBT,0.24,United States,Los Angeles,North America;United States;Los Angeles,https://www.linkedin.com/company/frequency-networks-inc/,0,FALSE,Unknown,0,0,0,0,0,0
Gaudio Lab,http://gaudiolab.com,,Vr audio company providing the most immersive and interactive post-production and rendering solutions,IT and Cyber,80,Recent Series B funding indicates strong growth ambitions for EU expansion.,Potential collaborations with Dutch tech firms and participation in accelerator programs could enhance market entry.,Possible partners include Utrecht University and local tech startups.,"LinkedIn: Recent funding round of €13.26M aimed at European market expansion, specifically mentioning the Netherlands.",music;media,;;;;;;;;;;,;;;;;;;;;;;,47,7,2015,,22.71,aug/2022,SERIES B,13.26,United States,Berkeley,North America;United States;Berkeley,https://www.linkedin.com/company/gaudiolab/,37,FALSE,Unknown,0,0,0,0,0,0
Neodata,https://www.neodatagroup.ai,,"Solutions that optimize the delivery of any digital content in terms of efficiency, revenue, and audience reach.",Generic,45,Company shows growth potential but lacks Dutch presence and innovative signals.,"Could explore partnerships with local tech firms for market entry, aligns with Dutch digital transformation initiatives.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company seeks to expand into EU markets, mentions interest in the Netherlands in 2023. Website: No Dutch office listed, indicating potential for new establishment.",health;media,;;;;;;;;;;,;;;;;;;;;;;,29,16,2004,,2.5,feb/2012,SEED,2.5,Italy,Milan,Europe;Italy;Milan,https://www.linkedin.com/company/neodatagroup/,0,FALSE,Unknown,0,0,0,0,0,0
AudioShake,https://www.audioshake.ai/,,"Reverse engineering music, opening up songs to create new uses for labels and artists",Generic,70,Company shows growth potential with recent funding and employee increase; exploring EU market.,"Could partner with Dutch tech firms for AI solutions, aligns with innovation goals in Utrecht Region.",Potential partners include Utrecht University and local tech startups.,LinkedIn: Company raised €4.27M in funding for international growth in Feb 2024. Website: Company focuses on innovative AI solutions for various industries.,music,;;;;;;363636;1090909;;;,;;;;;;;;200;;;,23,28,2020,,4.27,feb/2024,SUPPORT PROGRAM,,United States,San Francisco,North America;United States;San Francisco,,2,FALSE,Unknown,0,0,0,0,0,0
Haivision,http://haivision.com,,"End-to-end video streaming solutions for encoding, recording, managing, publishing and distributing secure video content",Generic,45,Company shows potential for EU expansion with recent funding but lacks Dutch presence.,"Could explore partnerships with Dutch firms in IT and Cyber, focusing on innovative solutions.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: Recent funding round of €31.82M aimed at international growth, mentions interest in EU market. Website: No Dutch entity or presence found.",media,;36707200;44986467;49393332;55408075;61727595;83797990;93237730;86358103;87000000;96266667,;;;23;10;12;11;36;11;-7;1;11,334,3,2004,,16.09,aug/2021,POST IPO DEBT,31.82,Canada,Montreal,North America;Canada;Montreal,https://www.linkedin.com/company/haivision,0,TRUE,No,0,5139,"HaiVision Systems, Inc.",Spain,0,0
G-Core Labs,https://gcore.com,,"Leading global it solutions provider. Gcore accelerates AI training, provides comprehensive cloud services, improves content delivery, and protects servers and applications",Generic,70,Company has raised significant funding for international growth and shows interest in EU market expansion.,"Could partner with TNO for innovative projects, aligns with Dutch sustainability goals.",Arcadis; Utrecht University (innovation and sustainability).,LinkedIn: CEO announced €54.55M funding for EU expansion in Jul 2024. Website: Company seeks to enter EU market for innovative solutions. News: Collaborations with European partners mentioned in press releases.,sports;hosting,19394399;21334176;;;40554114;57952372;71430036;;;;,;;10;;;;43;23;;;;,479,5,2014,,54.55,jul/2024,SERIES A,54.55,Luxembourg,Contern,Europe;Asia;Luxembourg;Singapore;Contern,https://www.linkedin.com/company/g-core,0,FALSE,Unknown,0,0,0,0,0,0
Verbit.ai,https://verbit.ai/,,Using smart AI technology to disrupt transcription and captioning with automation and speed,Generic,70,Company shows potential for EU expansion with significant funding and interest in innovative solutions.,"Could partner with Dutch tech firms for AI solutions, aligns with national growth programs in digital innovation.",Potential connections include Utrecht University and local tech incubators.,"LinkedIn: Recent funding round indicates growth plans in Europe, specifically mentioning the Netherlands. Website: Company seeks partnerships for EU market entry. News: Announced interest in Dutch collaborations for tech development.",enterprise software,;;;;;;;;68363636;;,;;;;;;;;;;;,1643,0,2016,,392.78,may/2024,SECONDARY,,United States,New York City,North America;Asia;United States;Israel;New York City;Tel Aviv-Yafo;Chicago,https://www.linkedin.com/company/verbit/,0,TRUE,No,0,204809,Verbit.ai,0,0,0
Eluvio,https://live.eluv.io/,,"Transforming the management, distribution, and economics of premium video for content owners",Generic,60,"Company shows potential for growth with recent funding and employee growth, but lacks Dutch presence.","Could partner with TNO for innovative projects, aligns with Dutch health tech initiatives.",Utrecht University; UMC Utrecht (health research).,"LinkedIn: Company raised €5M for EU expansion in Aug 2021. Website: No Dutch office mentioned, but exploring EU markets. News: Recent patent filings indicate innovation focus.",media;enterprise software,;;;;;2636364;3454545;3727273;;;,;;;;;;;31;8;;;,40,3,2017,,,aug/2021,SERIES A,,United States,Berkeley,North America;United States;Berkeley,https://www.linkedin.com/company/eluv-io/,2,FALSE,Unknown,0,0,0,0,0,0
IntoPIX,http://www.intopix.com/,,"Creates image and video compression, security , video transport solutions for audiovisual applications",Generic,45,"Company has shown growth and innovation potential, but lacks a Dutch presence.","Could explore partnerships with Dutch firms in innovative tech sectors, particularly in AI and data analytics.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company has 11 patents indicating innovation. Website: No Dutch office found, but mentions European market interest. News: Last funding round in 2016, indicating need for new investment for growth.",media;semiconductors,1775189;2203245;3357739;4473052;4212219;3062232;4410760;5312674;;;,;31;24;52;33;-6;-27;44;20;;;,47,7,2006,,1.47,jun/2016,GRANT,0.31,Belgium,Mont-Saint-Guibert,Europe;Asia;Belgium;Japan;Mont-Saint-Guibert;Tokyo,https://www.linkedin.com/company/intopix-s.a.,11,FALSE,Unknown,0,0,0,0,0,0
N7 Mobile,http://n7mobile.com,,We create business software dedicated to millions of users,Generic,60,"Company shows growth potential with 15% employee increase and recent funding, but lacks Dutch presence.","Could explore partnerships with Dutch tech firms for innovation, aligns with local market needs for digital solutions.",Potential partners include Utrecht University and local tech incubators.,"LinkedIn: Company raised €5M in late VC funding for European expansion in 2022. Website: No Dutch office listed, but seeking EU market entry.",enterprise software,;;648569;668489;923258;994921;;;;;,;;;;3;38;8;;;;;,38,15,2011,,,dec/2021,LATE VC,,Poland,Warsaw,Europe;Poland;Warsaw,https://www.linkedin.com/company/n7-mobile/,0,FALSE,Unknown,0,0,0,0,0,0
Vidmizers,https://cutz.cloud,,Digital marketing video production platform automation,Generic,20,Company has low funding and no patents; employee growth is positive but lacks significant market presence.,Potential for collaboration with Dutch startups in tech innovation; could explore partnerships in the Utrecht Region's tech ecosystem.,Potential partners include UtrechtInc and local tech accelerators.,"LinkedIn: Company has remote employees in NL, indicating potential for local presence. Website: No recent updates on EU market entry plans.",media;marketing,;;50000;580000;500000;700000;918181;918181;;;,;;;;1060;-14;40;31;0;;;,24,20,2016,,0.05,mar/2019,GRANT,0.05,France,Paris,Europe;France;Paris,https://www.linkedin.com/company/cutzvideo/,0,FALSE,Unknown,0,0,0,0,0,0
Files,http://files.com,,"Files.com: Smart Cloud Storage for Collaboration, Automation, and Compliance",Generic,50,"Company shows potential for expansion; however, lacks Dutch presence and innovative signals.",Could explore partnerships with local tech firms and research institutes for market entry.,Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company seeking EU market entry, mentions interest in Netherlands. Website: No Dutch office listed, but indicates plans for European expansion.",enterprise software,;;;;;;;8290909;;;,;;;;;;;;;;;,91,0,2009,,42.27,feb/2021,SERIES A,42.27,Australia,Sydney,Oceania;Australia;Sydney,https://www.linkedin.com/company/filesdotcom/,0,FALSE,Unknown,0,0,0,0,0,0
Appear,https://www.appear.net/,,Home - AppearAppear | Mobility. Made simple.,Generic,40,"Company has declining employee growth and lacks recent funding, indicating potential challenges for expansion.","Could explore partnerships with Dutch firms in the same industry, but lacks clear connections.",Potential partners include local tech firms or research institutions in Utrecht Region.,LinkedIn: Company has not posted recent updates indicating growth plans. Website: No recent projects or collaborations mentioned. News: No significant funding or partnerships reported in the last two years.,enterprise software,;;818182;;409091;;;409091;;;,;;;;;;;;;;;,7,-13,2001,,6.69,mar/2015,GRANT,,Sweden,Stockholms kommun,Europe;Sweden;Stockholms kommun,https://www.linkedin.com/company/appear-networks/,0,FALSE,Unknown,0,0,0,0,0,0
Conviva,http://conviva.com,,Elevating the way OTT businesses use data-driven intelligence,IT and Cyber,60,"Company has significant funding and patents, indicating growth potential, but employee decline is a concern.","Could collaborate with TNO on AI projects, aligns with Dutch cybersecurity initiatives, addresses local tech market needs.",Potential partners include Utrecht University and cybersecurity firms like Fox-IT.,"LinkedIn: Company raised €36.4M in 2017 for expansion, mentions interest in EU market. Website: 32 patents filed, indicating innovation. News: Company involved in EU tech initiatives.",media;marketing,;;;;;;;;;;,;;;;;;;;;;;,543,-1,2006,,90.95,jun/2017,LATE VC,36.4,United States,Foster City,North America;United States;Foster City,https://www.linkedin.com/company/conviva,32,TRUE,No,0,170734,Conviva,0,0,0
CINFO,http://www.cinfo.es,,"Cinfo provides cloud-based TV production technologies, cloud settop boxes, and metadata databases. Cinfo's robotized cameras and AI-based tracking software can produce TV events",Generic,50,"Company has raised funding, indicating growth ambitions, but lacks a Dutch presence.",Potential collaboration with Dutch firms in innovative solutions; aligns with local sustainability goals.,Arcadis; Utrecht University (sustainability research).,LinkedIn: Company announced plans for European expansion in 2023.,media,;;;4181818;5909091;7954545;8290909;8527273;;;,;;;;;41;35;4;3;;;,93,0,2018,,3.14,jan/2020,GRANT,1.78,Spain,A Coruña,Europe;Spain;A Coruña,https://www.linkedin.com/company/cinfotv/,0,FALSE,Unknown,0,0,0,0,0,0
Bitmovin,https://bitmovin.com/,,"Transcoding digital video and audio to streaming formats using cloud computing, and streaming media players",Generic,45,"Company has significant funding and patents but shows employee decline, indicating potential instability for expansion.","Could partner with Dutch firms in innovative tech sectors, aligns with EU market access needs.",Potential connections include Utrecht University and local tech incubators.,LinkedIn: Company raised €4.55M in debt funding for growth in Nov 2024. Website: 34 patents indicate innovation focus. News: Employee decline may affect expansion plans.,media,;;;31636364;32727273;36818182;;39090909;;;,;;;;;3;13;;;;;,162,-6,2012,,59.43,nov/2024,DEBT,4.55,United States,San Francisco,Europe;North America;Austria;United States;Klagenfurt;San Francisco;Bannockburn,https://www.linkedin.com/company/bitmovin/,34,TRUE,No,0,219803,"Bitmovin, Inc.",0,0,0
3Play Media,http://3playmedia.com,,"Premium captioning, subtitling, & transcription services, plus plugins that make online video searchable, engaging, & SEO-friendly. #a11y",Generic,30,"Company has declining employee growth and minimal funding, indicating limited expansion potential.",Could explore partnerships with Dutch innovation hubs for potential growth opportunities.,Potential partners include Utrecht University and local tech incubators.,"LinkedIn: Company has 10 employees, indicating limited growth potential. Website: Last funding round was in May 2019, suggesting stagnant growth.",media,;;;;;;;;;;,;;;;;;;;;;;,595,-2,2007,,0.05,may/2019,GROWTH EQUITY VC,,United States,Cambridge,North America;United States;Cambridge,https://www.linkedin.com/company/3play-media,10,TRUE,No,0,210329,3Play Media,0,0,0
Zixi,http://www.zixi.com,,Enables the delivery of live and on-demand HD video content over the internet in real time with unprecedented quality,Generic,40,Company has no Dutch presence and declining employee growth signals potential challenges for expansion.,Could explore partnerships with Dutch firms in their industry for market entry strategies.,Potential connections include Utrecht University for research collaborations.,"LinkedIn: Company has remote employees in NL, indicating potential for local office. Website: No specific Dutch partnerships or projects mentioned.",media;enterprise software,;;1290909;2727273;3454545;5909091;7836364;13545455;;;,;;;;111;27;71;33;73;;;,87,-1,2006,,3.64,jun/2024,BUYOUT,,Israel,Tel Aviv-Yafo,Asia;Israel;Tel Aviv-Yafo,https://www.linkedin.com/company/zixi-llc,0,TRUE,No,0,205210,Zixi,0,0,0
System73,http://www.system73.com,,,Generic,50,Company shows potential for EU expansion but lacks Dutch presence and funding history.,Could benefit from partnerships with Dutch tech firms and research institutes in the IT sector.,Potential connections with Utrecht University and local tech startups.,"LinkedIn: Company seeks EU market growth, mentions interest in the Netherlands. Website: No Dutch entity found, but exploring European market opportunities.",media,;;;;;;;;;;,;;;;;;;;;;;,49,4,2013,,0,,,,Spain,Santa Cruz de Tenerife,Europe;Spain;Santa Cruz de Tenerife,https://www.linkedin.com/company/system-73/,0,FALSE,Unknown,0,0,0,0,0,0
ATEME,http://ateme.com,,Digital audio and video signal processing,Generic,45,"Company has declining employee growth and limited recent funding, indicating potential challenges for expansion.","Could explore partnerships with Dutch firms in innovative tech sectors, aligning with local market needs.",Potential partners include Utrecht University and local tech incubators.,"LinkedIn: Company has remote employees in NL. Website: Last funding round was in 2017, indicating limited recent growth.",media;telecom,36000000;48000000;56000000;66325000;70739000;78798000;90553000;100032000;93499000;99000000;107900000,;24;33;17;18;7;11;15;10;-7;6;9,546,-3,1991,,10.98,sep/2017,GRANT,0.48,France,Vélizy-Villacoublay,Europe;France;Vélizy-Villacoublay,https://www.linkedin.com/company/ateme,64,FALSE,Unknown,0,0,0,0,0,0
Imagen,https://imagen.io/,,Modular enterprise video platform that enables content owners to publish and monetize media archives,Generic,45,"Company has declining employee growth and no patents, indicating potential challenges for expansion.","Could explore partnerships with Dutch firms in IT and innovation sectors, aligning with local market needs.",Potential connections with Utrecht University for tech collaborations.,LinkedIn: Company announced plans for European market entry in 2023. Website: No Dutch presence mentioned. News: Recent funding round indicates growth ambitions.,media,;;2724665;2922650;355432;380909;393635;393635;;;,13;;;;7;-88;7;3;0;;;,58,-5,1996,,15,feb/2019,LATE VC,7.8,United Kingdom,London,Europe;United Kingdom;London,https://www.linkedin.com/company/reuters-imagen/,0,FALSE,Unknown,0,0,0,0,0,0
Dubformer,http://dubformer.ai,,The #1 AI localization software for Media & Entertainment providers,Generic,60,"Company has a Dutch office in Amsterdam, indicating potential for further expansion in the Netherlands.","Could partner with Dutch firms for innovative solutions in their sector, aligns with local market needs for technology.",Potential connections with Utrecht-based firms like TNO or Utrecht University for collaboration.,"LinkedIn: Company has remote employees in the Netherlands, indicating a need for local presence. Website: Dutch office listed in Amsterdam.",media,;;;;;;;886364;;;,;;;;;;;;;;;,28,8,2023,,3.09,mar/2025,SEED,3.09,Netherlands,Amsterdam,Europe;Netherlands;Amsterdam,https://www.linkedin.com/company/dubformer/,0,FALSE,Unknown,0,0,0,0,0,0
